Job ID,On-Site,Remote,Hybrid,Unspecified
1,False,True,False,False
2,True,False,False,False
3,False,True,False,False
6,True,False,False,False
8,False,False,False,True
12,False,False,True,False
16,False,True,False,False
18,True,False,False,False
22,True,False,False,False
24,True,False,False,False
28,False,True,False,False
30,True,False,False,False
33,False,True,False,False
35,False,False,True,False
36,True,False,False,False
39,False,False,True,False
40,False,False,True,False
42,False,True,False,False
43,False,True,False,False
46,False,False,True,False
47,False,False,True,False
48,True,False,False,False
54,True,False,False,False
58,False,True,False,False
59,False,False,True,False
63,True,False,False,False
65,True,False,False,False
69,False,False,True,False
71,True,False,False,False
72,False,False,False,True
77,True,False,False,False
79,False,True,False,False
80,False,False,True,False
84,True,False,False,False
85,True,False,False,False
87,True,False,False,False
91,False,False,True,False
97,False,False,True,False
111,False,False,True,False
112,False,False,True,False
116,False,True,False,False
119,False,True,False,False
120,False,False,True,False
121,True,False,False,False
124,False,False,False,True
125,False,True,False,False
126,False,True,False,False
129,False,False,False,True
131,False,False,True,False
132,False,False,False,True
137,False,False,True,False
140,True,False,False,False
143,True,False,False,False
148,True,False,False,False
151,True,False,False,False
152,True,False,False,False
153,True,False,False,False
155,False,False,True,False
157,False,True,False,False
159,False,False,True,False
160,False,False,True,False
163,True,False,False,False
167,True,False,False,False
168,False,True,False,False
169,False,True,False,False
170,True,False,False,False
174,True,False,False,False
175,True,False,False,False
182,False,False,True,False
185,True,False,False,False
193,True,False,False,False
196,False,False,True,False
197,False,False,True,False
202,True,False,False,False
203,False,False,True,False
204,False,False,True,False
206,True,False,False,False
211,False,False,True,False
213,True,False,False,False
215,True,False,False,False
218,True,False,False,False
221,False,True,False,False
224,True,False,False,False
225,False,False,True,False
229,True,False,False,False
230,False,False,True,False
238,False,False,False,True
239,True,False,False,False
240,False,False,False,True
244,False,False,True,False
245,False,False,True,False
247,False,False,False,True
248,True,False,False,False
251,True,False,False,False
253,False,True,False,False
260,True,False,False,False
270,False,False,True,False
274,False,False,False,True
282,False,True,False,False
287,True,False,False,False
288,True,False,False,False
292,False,False,True,False
296,False,True,False,False
310,False,True,False,False
315,False,False,True,False
321,False,True,False,False
322,True,False,False,False
323,False,True,False,False
327,False,False,True,False
330,True,False,False,False
331,False,True,False,False
333,False,True,False,False
338,True,False,False,False
339,False,False,False,True
342,True,False,False,False
343,False,True,False,False
365,True,False,False,False
377,True,False,False,False
386,True,False,False,False
387,False,True,False,False
388,True,False,False,False
389,True,False,False,False
395,False,False,True,False
396,False,True,False,False
406,True,False,False,False
420,False,True,False,False
424,False,False,True,False
439,True,False,False,False
447,False,False,True,False
451,True,False,False,False
456,False,True,False,False
478,True,False,False,False
488,True,False,False,False
494,True,False,False,False
501,True,False,False,False
507,False,True,False,False
515,False,False,True,False
517,True,False,False,False
518,False,False,True,False
524,True,False,False,False
526,False,True,False,False
529,False,False,True,False
532,False,False,True,False
537,True,False,False,False
541,False,False,True,False
545,False,True,False,False
550,True,False,False,False
568,False,True,False,False
570,False,True,False,False
582,False,True,False,False
585,False,False,True,False
587,False,True,False,False
591,False,False,True,False
594,False,False,True,False
629,True,False,False,False
633,True,False,False,False
640,True,False,False,False
663,False,True,False,False
667,True,False,False,False
674,False,False,True,False
686,False,False,True,False
706,True,False,False,False
715,True,False,False,False
717,False,True,False,False
720,False,True,False,False
725,False,True,False,False
729,True,False,False,False
731,True,False,False,False
738,False,False,False,True
755,True,False,False,False
775,True,False,False,False
781,True,False,False,False
797,False,True,False,False
815,True,False,False,False
843,False,True,False,False
850,False,False,True,False
853,False,False,True,False
857,True,False,False,False
862,False,True,False,False
879,True,False,False,False
885,True,False,False,False
896,True,False,False,False
903,False,False,False,True
906,False,False,True,False
911,False,False,False,True
922,False,True,False,False
935,True,False,False,False
938,False,True,False,False
945,False,False,True,False
967,True,False,False,False
973,True,False,False,False
1017,False,True,False,False
1021,False,False,True,False
1068,True,False,False,False
1078,False,False,True,False
1096,False,False,True,False
1102,False,False,True,False
1133,False,False,True,False
1142,False,True,False,False
1156,False,True,False,False
